Kürzel	Konfession
ak	alt-katholisch
ap	apostolisch
ba	baptistisch
bd	buddhistisch
ca	calvinistisch
ce	anglikanisch (Church of England)
di	Dissident
ev	evangelisch
fr	französisch-reformiert
gf	Quäker
go	griechisch-orthodox
ht	Heilige der letzten Tage
is	islamisch
jd	jüdisch
ka	katholisch
lt	evangelisch-augsburgisch
lu	lutherisch
me	mennonitisch
ml	moslemisch
mt	methodistisch
na	neuapostolisch
ob	ohne Bekenntnis
ox	orthodox
pr	presbyterianisch
rf	reformiert
rk	römisch-katholisch
ro	russisch-orthodox
so	sonstige
un	evangelisch-uniert
wr	wallonisch-reformiert
zj	Zeugen Johovas
