Staat	Kürzel	Territorium	URI
A	BGL	Burgenland	http://gov.genealogy.net/object_215342
A	KAE	Kärnten	http://gov.genealogy.net/object_215343
A	NOE	Niederösterreich	http://gov.genealogy.net/object_215341
A	OOE	Oberösterreich	http://gov.genealogy.net/object_215344
A	SBG	Salzburg	http://gov.genealogy.net/object_215345
A	STM	Steiermark	http://gov.genealogy.net/object_215346
A	TIR	Tirol	http://gov.genealogy.net/object_215347
A	VBG	Vorarlberg	http://gov.genealogy.net/object_215348
A	WIE	Wien	http://gov.genealogy.net/object_215349
AUS	ACT	Australian Capital Territory	http://gov.genealogy.net/object_1023944
AUS	NSW	New South Wales	http://gov.genealogy.net/object_1023937
AUS	NT	Northern Territory	http://gov.genealogy.net/object_1023941
AUS	QLD	Queensland	http://gov.genealogy.net/object_1023936
AUS	SA	South Australia	http://gov.genealogy.net/object_1023939
AUS	TAS	Tasmanien	http://gov.genealogy.net/object_1023940
AUS	VIC	Victoria	http://gov.genealogy.net/object_1023938
AUS	WA	Western Australia	http://gov.genealogy.net/object_1023935
B	ATW	Antwerpen	http://gov.genealogy.net/object_259041
B	BBT	Brabant	http://gov.genealogy.net/object_260480
B	BLX	Luxemburg (B-Provinz)	http://gov.genealogy.net/object_261620
B	HNT	Hainaut	http://gov.genealogy.net/object_260619
B	LBG	Limburg	http://gov.genealogy.net/object_259237
B	LGE	Liege	http://gov.genealogy.net/object_261150
B	OVL	Ostflandern	http://gov.genealogy.net/object_259494
B	VLG	Flandern	http://gov.genealogy.net/object_258579
B	WAL	Wallonien	http://gov.genealogy.net/object_258581
B	WVL	Westflandern	http://gov.genealogy.net/object_260167
BR	AC	Acre	http://gov.genealogy.net/object_375803
BR	AL	Alagoas	http://gov.genealogy.net/object_375794
BR	AM	Amazonas	http://gov.genealogy.net/object_375805
BR	AP	Amapá	http://gov.genealogy.net/object_375804
BR	BA	Bahia	http://gov.genealogy.net/object_375795
BR	CE	Ceará	http://gov.genealogy.net/object_375796
BR	DF	Distrito Federal do Brasil	http://gov.genealogy.net/object_375790
BR	ES	Espírito Santo	http://gov.genealogy.net/object_375810
BR	GO	Goiás	http://gov.genealogy.net/object_375791
BR	MA	Maranhão	http://gov.genealogy.net/object_375797
BR	MG	Minas Gerais	http://gov.genealogy.net/object_375811
BR	MS	Mato Grosso do Sul	http://gov.genealogy.net/object_375793
BR	MT	Mato Grosso	http://gov.genealogy.net/object_375792
BR	PA	Pará	http://gov.genealogy.net/object_375806
BR	PB	Paraíba	http://gov.genealogy.net/object_375798
BR	PE	Pernambuco	http://gov.genealogy.net/object_375799
BR	PI	Piauí	http://gov.genealogy.net/object_375800
BR	PR	Paraná	http://gov.genealogy.net/object_375814
BR	RJ	Rio de Janeiro	http://gov.genealogy.net/object_375812
BR	RN	Rio Grande do Norte	http://gov.genealogy.net/object_375801
BR	RO	Rondônia	http://gov.genealogy.net/object_375807
BR	RR	Roraima	http://gov.genealogy.net/object_375808
BR	RS	Rio Grande do Sul	http://gov.genealogy.net/object_375815
BR	SC	Santa Catarina	http://gov.genealogy.net/object_375816
BR	SE	Sergipe	http://gov.genealogy.net/object_375802
BR	SP	São Paulo	http://gov.genealogy.net/object_375813
BR	TO	Tocantins	http://gov.genealogy.net/object_375809
CDN	AB	Alberta	http://gov.genealogy.net/object_277507
CDN	BC	British Columbia	http://gov.genealogy.net/object_277506
CDN	MB	Manitoba	http://gov.genealogy.net/object_277509
CDN	NB	New Brunswick	http://gov.genealogy.net/object_277512
CDN	NF	Newfoundland	http://gov.genealogy.net/object_277515
CDN	NS	Nova Scotia	http://gov.genealogy.net/object_277514
CDN	NT	Northwest Territories	http://gov.genealogy.net/object_277504
CDN	ON	Ontario	http://gov.genealogy.net/object_277510
CDN	PE	Prince Edward Island	http://gov.genealogy.net/object_277513
CDN	QE	Quebec	http://gov.genealogy.net/object_277511
CDN	SK	Saskatchewan	http://gov.genealogy.net/object_277508
CDN	YN	Yukon	http://gov.genealogy.net/object_277500
CH	AG	Aargau	http://gov.genealogy.net/CH_adm19
CH	AI	Appenzell I-Rh	http://gov.genealogy.net/CH_adm16
CH	AR	Appenzell A-Rh	http://gov.genealogy.net/CH_adm15
CH	BE	Bern	http://gov.genealogy.net/CH_adm02
CH	BL	Basel Land	http://gov.genealogy.net/CH_adm13
CH	BS	Basel Stadt	http://gov.genealogy.net/CH_adm12
CH	FR	Freiburg	http://gov.genealogy.net/CH_adm10
